,0
AWS,163
Microsoft Azure,121
Google Cloud,88
Firebase,62
DigitalOcean,48
Heroku,40
VMware,18
Linode,15
Managed Hosting,9
Oracle Cloud Infrastructure,9
IBM Cloud or Watson,6
OpenStack,3
Colocation,1
