,0
AWS,171
Microsoft Azure,142
Google Cloud,91
Firebase,77
Heroku,65
DigitalOcean,53
VMware,29
Managed Hosting,19
Linode,10
Oracle Cloud Infrastructure,7
IBM Cloud or Watson,6
OpenStack,3
OVH,3
Colocation,1
