,0
PostgreSQL,163
Microsoft SQL Server,129
MySQL,111
MongoDB,111
SQLite,102
Redis,95
Firebase Realtime Database,54
Elasticsearch,50
DynamoDB,37
MariaDB,36
Cloud Firestore,34
Cassandra,25
Oracle,24
Neo4j,12
CouchDB,9
Couchbase,7
IBM DB2,5
